run_index,scenario,condition,seed,assignment_round,duration_seconds,warmup_seconds,max_model_decisions,max_model_decisions_per_agent,decision_window_seconds,max_model_decisions_per_window,model_decision_sample_rate,evolving_state_enabled,evolving_state_interval_seconds
175,high_load_high_acuity,nursta_only,5,2,43200,7200,300,100,7200,100,0.1,True,7200
176,high_load_high_acuity,both,5,2,43200,7200,300,100,7200,100,0.1,True,7200
177,normal_load,baseline,5,3,43200,7200,300,100,7200,100,0.1,True,7200
178,normal_load,cockpit_only,5,3,43200,7200,300,100,7200,100,0.1,True,7200
179,normal_load,nursta_only,5,3,43200,7200,300,100,7200,100,0.1,True,7200
180,normal_load,both,5,3,43200,7200,300,100,7200,100,0.1,True,7200
181,high_load_high_acuity,baseline,5,3,43200,7200,300,100,7200,100,0.1,True,7200
182,high_load_high_acuity,cockpit_only,5,3,43200,7200,300,100,7200,100,0.1,True,7200
183,high_load_high_acuity,nursta_only,5,3,43200,7200,300,100,7200,100,0.1,True,7200
184,high_load_high_acuity,both,5,3,43200,7200,300,100,7200,100,0.1,True,7200
185,normal_load,baseline,5,4,43200,7200,300,100,7200,100,0.1,True,7200
186,normal_load,cockpit_only,5,4,43200,7200,300,100,7200,100,0.1,True,7200
187,normal_load,nursta_only,5,4,43200,7200,300,100,7200,100,0.1,True,7200
188,normal_load,both,5,4,43200,7200,300,100,7200,100,0.1,True,7200
189,high_load_high_acuity,baseline,5,4,43200,7200,300,100,7200,100,0.1,True,7200
190,high_load_high_acuity,cockpit_only,5,4,43200,7200,300,100,7200,100,0.1,True,7200
191,high_load_high_acuity,nursta_only,5,4,43200,7200,300,100,7200,100,0.1,True,7200
192,high_load_high_acuity,both,5,4,43200,7200,300,100,7200,100,0.1,True,7200
193,normal_load,baseline,5,5,43200,7200,300,100,7200,100,0.1,True,7200
194,normal_load,cockpit_only,5,5,43200,7200,300,100,7200,100,0.1,True,7200
195,normal_load,nursta_only,5,5,43200,7200,300,100,7200,100,0.1,True,7200
196,normal_load,both,5,5,43200,7200,300,100,7200,100,0.1,True,7200
197,high_load_high_acuity,baseline,5,5,43200,7200,300,100,7200,100,0.1,True,7200
198,high_load_high_acuity,cockpit_only,5,5,43200,7200,300,100,7200,100,0.1,True,7200
199,high_load_high_acuity,nursta_only,5,5,43200,7200,300,100,7200,100,0.1,True,7200
200,high_load_high_acuity,both,5,5,43200,7200,300,100,7200,100,0.1,True,7200
201,normal_load,baseline,6,1,43200,7200,300,100,7200,100,0.1,True,7200
202,normal_load,cockpit_only,6,1,43200,7200,300,100,7200,100,0.1,True,7200
203,normal_load,nursta_only,6,1,43200,7200,300,100,7200,100,0.1,True,7200
204,normal_load,both,6,1,43200,7200,300,100,7200,100,0.1,True,7200
205,high_load_high_acuity,baseline,6,1,43200,7200,300,100,7200,100,0.1,True,7200
206,high_load_high_acuity,cockpit_only,6,1,43200,7200,300,100,7200,100,0.1,True,7200
207,high_load_high_acuity,nursta_only,6,1,43200,7200,300,100,7200,100,0.1,True,7200
208,high_load_high_acuity,both,6,1,43200,7200,300,100,7200,100,0.1,True,7200
209,normal_load,baseline,6,2,43200,7200,300,100,7200,100,0.1,True,7200
210,normal_load,cockpit_only,6,2,43200,7200,300,100,7200,100,0.1,True,7200
211,normal_load,nursta_only,6,2,43200,7200,300,100,7200,100,0.1,True,7200
212,normal_load,both,6,2,43200,7200,300,100,7200,100,0.1,True,7200
213,high_load_high_acuity,baseline,6,2,43200,7200,300,100,7200,100,0.1,True,7200
214,high_load_high_acuity,cockpit_only,6,2,43200,7200,300,100,7200,100,0.1,True,7200
215,high_load_high_acuity,nursta_only,6,2,43200,7200,300,100,7200,100,0.1,True,7200
216,high_load_high_acuity,both,6,2,43200,7200,300,100,7200,100,0.1,True,7200
217,normal_load,baseline,6,3,43200,7200,300,100,7200,100,0.1,True,7200
218,normal_load,cockpit_only,6,3,43200,7200,300,100,7200,100,0.1,True,7200
219,normal_load,nursta_only,6,3,43200,7200,300,100,7200,100,0.1,True,7200
220,normal_load,both,6,3,43200,7200,300,100,7200,100,0.1,True,7200
221,high_load_high_acuity,baseline,6,3,43200,7200,300,100,7200,100,0.1,True,7200
222,high_load_high_acuity,cockpit_only,6,3,43200,7200,300,100,7200,100,0.1,True,7200
223,high_load_high_acuity,nursta_only,6,3,43200,7200,300,100,7200,100,0.1,True,7200
224,high_load_high_acuity,both,6,3,43200,7200,300,100,7200,100,0.1,True,7200
225,normal_load,baseline,6,4,43200,7200,300,100,7200,100,0.1,True,7200
226,normal_load,cockpit_only,6,4,43200,7200,300,100,7200,100,0.1,True,7200
227,normal_load,nursta_only,6,4,43200,7200,300,100,7200,100,0.1,True,7200
228,normal_load,both,6,4,43200,7200,300,100,7200,100,0.1,True,7200
229,high_load_high_acuity,baseline,6,4,43200,7200,300,100,7200,100,0.1,True,7200
230,high_load_high_acuity,cockpit_only,6,4,43200,7200,300,100,7200,100,0.1,True,7200
231,high_load_high_acuity,nursta_only,6,4,43200,7200,300,100,7200,100,0.1,True,7200
232,high_load_high_acuity,both,6,4,43200,7200,300,100,7200,100,0.1,True,7200
233,normal_load,baseline,6,5,43200,7200,300,100,7200,100,0.1,True,7200
234,normal_load,cockpit_only,6,5,43200,7200,300,100,7200,100,0.1,True,7200
235,normal_load,nursta_only,6,5,43200,7200,300,100,7200,100,0.1,True,7200
236,normal_load,both,6,5,43200,7200,300,100,7200,100,0.1,True,7200
237,high_load_high_acuity,baseline,6,5,43200,7200,300,100,7200,100,0.1,True,7200
238,high_load_high_acuity,cockpit_only,6,5,43200,7200,300,100,7200,100,0.1,True,7200
239,high_load_high_acuity,nursta_only,6,5,43200,7200,300,100,7200,100,0.1,True,7200
240,high_load_high_acuity,both,6,5,43200,7200,300,100,7200,100,0.1,True,7200
241,normal_load,baseline,7,1,43200,7200,300,100,7200,100,0.1,True,7200
242,normal_load,cockpit_only,7,1,43200,7200,300,100,7200,100,0.1,True,7200
243,normal_load,nursta_only,7,1,43200,7200,300,100,7200,100,0.1,True,7200
244,normal_load,both,7,1,43200,7200,300,100,7200,100,0.1,True,7200
