bandwidth_m,split,training_dates,comparison_direction,training_events,held_out_events,observed_half_distance,abm_pooled_distance,abm_matched_median_distance,abm_matched_low,abm_matched_high,global_random_median_distance,global_random_low,global_random_high,zone_random_median_distance,zone_random_low,zone_random_high
2.0,1,2023-12-11;2023-12-12;2023-12-13,average_of_both_held_out_directions,71,288,0.31268466196086475,0.29342333699247025,0.3145877168756916,0.2843601556809686,0.3475475243138746,0.4129797727709258,0.38169638038198983,0.45182762513620145,0.43657866511585297,0.40250658378903437,0.47237858173604813
2.0,2,2023-12-11;2023-12-12;2023-12-14,average_of_both_held_out_directions,117,242,0.31630482166728663,0.2888878227969719,0.30218291065985475,0.2812715740601364,0.3293471344617177,0.41131440694825716,0.3828483409222109,0.4387799913902794,0.4259273882535193,0.40022346741907583,0.4578520936945755
2.0,3,2023-12-11;2023-12-12;2023-12-15,average_of_both_held_out_directions,165,194,0.35030081972734717,0.28943078491673646,0.30026843145705606,0.2716397774462764,0.3313688110340655,0.40602529191383596,0.37786566932797633,0.43709799422749274,0.4287763711857203,0.4047987110638149,0.4566144232029306
2.0,4,2023-12-11;2023-12-12;2023-12-16,average_of_both_held_out_directions,159,200,0.3277014990748026,0.2743814491722285,0.28346537403912614,0.25987747570087716,0.3129187502491922,0.40081882825138837,0.37611710988769576,0.42801770956595203,0.42485933449281277,0.3993905774119331,0.44738172853439234
2.0,5,2023-12-11;2023-12-13;2023-12-14,average_of_both_held_out_directions,111,248,0.3623739503811248,0.3051694683849596,0.31512548380867333,0.29187767969217293,0.3445276817360339,0.41642908041654236,0.3866871613539799,0.4462618143516337,0.4362545228774786,0.4068131126893377,0.4633488758994984
2.0,6,2023-12-11;2023-12-13;2023-12-15,average_of_both_held_out_directions,159,200,0.3364337583555001,0.2859350525144548,0.2963137413121425,0.272432532378158,0.3209273167046746,0.4085734084613233,0.38424973229635306,0.43645996404497783,0.4314364414080736,0.40254631729192103,0.4567331617934764
2.0,7,2023-12-11;2023-12-13;2023-12-16,average_of_both_held_out_directions,153,206,0.32300278345568056,0.2788264846118982,0.2859890873865828,0.26366209945881053,0.3159623226454124,0.394447501473805,0.36447713704434215,0.4230205183888762,0.41645338253118724,0.3883455583930242,0.4417769143260558
2.0,8,2023-12-11;2023-12-14;2023-12-15,average_of_both_held_out_directions,205,154,0.3757598318413372,0.2872051518433349,0.2963235308237142,0.2704010883485403,0.3247303240322011,0.407445300563377,0.37960552926184254,0.4355716935314222,0.42692697207901653,0.3987686606702644,0.45501166176709523
2.0,9,2023-12-11;2023-12-14;2023-12-16,average_of_both_held_out_directions,199,160,0.33384105649676016,0.28757523221426917,0.2956848625753484,0.2712759130426277,0.3240936495132341,0.4069277360797574,0.3758649281168735,0.434449936268491,0.43350933456420865,0.40631869448190355,0.45911314374934453
2.0,10,2023-12-11;2023-12-15;2023-12-16,average_of_both_held_out_directions,247,112,0.33927966648424207,0.2932927687114489,0.30533629505049287,0.2810986404398068,0.33389889295971475,0.41249007049652725,0.37675411741049786,0.44591635080811154,0.4321866358743516,0.3997447758660902,0.4590434554014954
